Date,Location,Artist,Venue,Lineup,Gear Notes,Link
2021-11-18,"Chicago, IL",Case Oats,Hideout,"Charlotte Cornfield, Case Oats",Red Onyx Slingerland
2021-11-19,"Chicago, IL",Kelly Hogan,Thalia Hall,"Mavis Staples, Kelly Hogan","Rented SIR Ludwig, blue sparkle, big dimensions"
2021-11-20,"Berwyn, IL",Kelly Hogan,Fitzgerald's,"Mavis Staples, Kelly Hogan",Rented Ludwig Centennial
2021-12-14,"Milwaukee, WI",Liam Kazar,Cactus Club,"Liam Kazar, Dusk",Red Onyx Slingerland
2021-12-22,"Chicago, IL",Jeff Tweedy,Metro,"Jeff Tweedy, Tenci",Root beer candy Gretsch
2021-12-23,"Chicago, IL",Jeff Tweedy,Metro,"Jeff Tweedy, Tenci",Root beer candy Gretsch
2022-01-18,"Riviera Maya, Mexico",Ohmme,Sky Blue Sky Festival,Sky Blue Sky Festival,Rented C&C
2022-01-19,"Riviera Maya, Mexico",Jeff Tweedy,Sky Blue Sky Festival,Sky Blue Sky Festival,Rented C&C
2022-02-02,"Chicago, IL","Andrew Sa, Kelly Hogan",Golden Dagger,"Andrew Sa, Kelly Hogan",Red Onyx Slingerland
2022-02-07,"Chicago, IL",Ripley,Schubas,"Jaewon, Ripley, Kasia",Jaewon's drummer Eric's slick Pearl Masters gold sparkle
2022-02-08,"Chicago, IL",Lucky Cloud,Sleeping Village,"Lucky Cloud, Sleepy Gaucho, Alayne Mae (sp)",Red Onyx Slingerland
2022-02-09,"Milwaukee, WI",Cosmic Country Showcase,Cactus Club,"Sabine McCalla, Elizabeth Moen, Wyatt Waddell, Mary Willamson, Andrew Sa",Red Onyx Slingerland
2022-02-10,"Chicago, IL",Cosmic Country Showcase,Hideout,,Red Onyx Slingerland
2022-02-11,"Chicago, IL",Cosmic Country Showcase,Hideout,,Red Onyx Slingerland
2022-02-12,"Madison, WI",Liam Kazar,UW Madison,"Liam Kazar, EMTN (?)",Opener's drums
2022-02-21,"San Francisco, CA",Jeff Tweedy,The Fillmore,"Jeff Tweedy, Mark Eitzel",Tweedy C&C
2022-02-22,"San Francisco, CA",Jeff Tweedy,The Fillmore,"Jeff Tweedy, Mark Eitzel",Tweedy C&C
2022-02-24,"Los Angeles, CA",Jeff Tweedy,Largo,"Jeff Tweedy, Pete Holmes",Tweedy C&C
2022-02-25,"Los Angeles, CA",Jeff Tweedy,Largo,"Jeff Tweedy, Nick Offerman",Tweedy C&C
2022-02-26,"Chicago, IL",Liam Kazar,Metro,"Liam Kazar, Lake James, Wyatt Waddell",Red Onyx Slingerland
2022-03-03,"Columbia, MO",Liam Kazar,Missouri Theatre,True/False Festival,Red Onyx Slingerland
2022-03-04,"Columbia, MO","Liam Kazar, Case Oats",Cafe Berlin,"Liam Kazar, Little Mazarin, Case Oats",Red Onyx Slingerland
2022-03-05,"Columbia, MO",Spencer and Sammy Tweedy,The Sanctuary at First Presbyterian Church,"Living Hour, Spencer & Sammy Tweedy, Rae Fitzgerald, Lucas Oswald",Red Onyx Slingerland
2022-03-05,"Columbia, MO",Case Oats,Picturehouse,True/False Festival,Avocado green Gibson J-45
2022-03-05,"Columbia, MO",Case Oats,Picturehouse ,True/False Festival,Avocado green Gibson J-45
2022-03-06,"Columbia, MO",Spencer and Sammy Tweedy,Blue Note,True/False Festival,Red Onyx Slingerland
2022-03-06,"Columbia, MO",Spencer and Sammy Tweedy,Blue Note,True/False Festival,Red Onyx Slingerland
2022-03-09,"Chicago, IL",Ripley,Sleeping Village,"Ripley, Creature Fight, Kasia",Red Onyx Slingerland
2022-03-16,"Austin, TX",Liam Kazar,Spider House Ballroom,SXSW,Sonor Vintage series back line
2022-03-16,"Austin, TX",Liam Kazar,High Noon Saloon,SXSW,Unknown back line
2022-03-17,"Austin, TX",Liam Kazar,Wax Myrtles,SXSW,Gretsch back line 
2022-03-18,"Austin, TX",Andrew Sa,Spider House Ballroom,SXSW,Unknown borrowed kit
2022-03-19,"Austin, TX",Liam Kazar,Spider House Ballroom,SXSW,Unknown borrowed kit
2022-03-19,"Austin, TX",Liam Kazar,Adam Ostrar's House Party,SXSW,Red Onyx Slingerland (pared down)
2022-03-19,"Austin, TX",Liam Kazar,Lambert's BBQ,SXSW,Unknown back line
2022-03-20,"Dallas, TX",Liam Kazar,New New Festival,Festival,Unknown back line
2022-03-21,"Houston, TX",Liam Kazar,White Oak Music Hall,"Liam Kazar, Minor Moon",Red Onyx Slingerland
2022-03-22,"New Orleans, LA",Liam Kazar,Gasa Gasa,"Liam Kazar, Minor Moon",Red Onyx Slingerland
2022-03-24,"Atlanta, GA",Liam Kazar,Eddie's Attic,Liam Kazar (evening with),Red Onyx Slingerland
2022-03-27,"Richmond, VA",Liam Kazar,The Camel,"Liam Kazar, Abby Huston, Night Idea",Red Onyx Slingerland
2022-03-28,"Baltimore, MD",Liam Kazar,Ottobar,"Liam Kazar and there was a solo opener whose name I forgot, maybe also a second support",Red Onyx Slingerland
2022-03-29,"Washington, DC",Liam Kazar,DC9,Liam Kazar (no opener?),Red Onyx Slingerland
2022-03-30,"New York, NY",Liam Kazar,TV Eye,"Liam Kazar, Sweepea, Bill Waters ",House kit with my orange Acrolyte
2022-03-31,"Philadelphia, PA",Liam Kazar,Silk City Diner,"Liam Kazar, Good Things Take Time",Red Onyx Slingerland
2022-04-02,"Cincinnati, OH",Liam Kazar,MOTR Pub,"The Yugos, Spoils, Liam Kazar, Brad Goodall",Red Onyx Slingerland
2022-04-03,"Bloomington, IN",Liam Kazar,The Bishop,"Liam Kazar, Free Range",Red Onyx Slingerland
2022-04-09,"Chicago, IL","Madeleine Kelson, Alaina Stacey",Martyrs,"Madeleine Kelson, Alaina Stacy, Carleton Koldyke",House kit with my orange Acrolyte
2022-04-15,"Chicago, IL",Ripley,Gman Tavern,"Aunt Kelly, Ripley, The Dearlys",Sarah Weddle's vintage Ludwig with my orange Acrolyte
2022-04-16,"Chicago, IL",Lucky Cloud,Lincoln Hall,"Elizabeth Moen, Lucky Cloud","Liz's drummer David's cool Mapex orange kit, with my orange Acrolyte"
2022-05-06,"Denver, CO",Liam Kazar,Bluebird Theater,"Fruit Bats, Liam Kazar",Backline blue sparkle vintage Ludwig
2022-05-07,"Denver, CO",Liam Kazar,Bluebird Theater,"Fruit Bats, Liam Kazar",Backline blue sparkle vintage Ludwig
2022-05-12,"Chicago, IL",Liam Kazar,Hideout,"Sam Evian, Liam Kazar",Red Onyx Slingerland
2022-05-27,"North Adams, MA",Ohmme,MASS MoCA,Solid Sound,Orange Acrolyte snare
2022-05-28,"North Adams, MA",Liam Kazar,MASS MoCA,Solid Sound,Red Onyx Slingerland
2022-05-28,"North Adams, MA",Mirror Sound,MASS MoCA,Solid Sound,Red Onyx Slingerland
2022-05-29,"North Adams, MA",Jeff Tweedy,MASS MoCA,Solid Sound,Tweedy C&C
2022-05-29,"North Adams, MA",Liam Kazar,MASS MoCA,Solid Sound,Red Onyx Slingerland
2022-05-29,"North Adams, MA",Sam Evian,MASS MoCA,Solid Sound,A cymbal and orange Acrolyte snare
2022-05-31,"Winooski, VT",Liam Kazar,Monkey House,"Liam Kazar, Bear's Tapestry",Bear's Tapestry's Starclassic drums
2022-06-01,"Kingston, NY",Liam Kazar,Tubby's,"Liam Kazar, Hannah Cohen and Sam Evian",Red Onyx Slingerland
2022-06-02,"Troy, NY",Liam Kazar,Hangar on the Hudson,"Liam Kazar, The Greetings",Red Onyx Slingerland
2022-06-03,"New Haven, CT",Liam Kazar,Cafe Nine,"Liam Kazar, SG Carlson",Red Onyx Slingerland
2022-06-05,"Buffalo, NY",Liam Kazar,Buffalo Iron Works,Liam Kazar (no opener),Red Onyx Slingerland
2022-06-06,"Detroit, MI",Liam Kazar,UFO Factory,"Liam Kazar, Rachele Eve",Red Onyx Slingerland
2022-06-11,"Chicago, IL",Sima Cunningham,Green Mill,Paper Machete,"Red Onyx Slingerland bass drum, orange Acrolyte snare, house toms and hardware"
2022-06-11,"Chicago, IL",Sima Cunningham,Hungry Brain,Sima Cunningham,House kit with my orange Acrolyte
