id,Date,Location,Artist,Venue,Lineup,Gear Notes,Link,Created on
181,2023-08-05,"Ripon, WI",Case Oats,Avrom Farm,Avrom Farm Party,Whitehall with orange Acrolyte snare,,2025-08-03
182,2023-08-12,"Albany, WI",Aux Thom,Post Farm,Sima & Doriain wedding,Whitehall with Cunningham purple snare,,2025-08-03
183,2023-08-18,"Bonner, MT",Waxahatchee,KettleHouse Amphitheater,"Nathaniel Rateliff & The Night Sweats, Waxahatchee",Backline and my orange Acrolyte snare,,2025-08-03
184,2023-08-19,"Bonner, MT",Waxahatchee,KettleHouse Amphitheater,"Nathaniel Rateliff & The Night Sweats, Waxahatchee",Backline and my orange Acrolyte snare,,2025-08-03
185,2023-08-22,"Morrison, CO",Waxahatchee,Red Rocks Amphitheater,"Nathaniel Rateliff & The Night Sweats, Waxahatchee",Backline and my orange Acrolyte snare,,2025-08-03
186,2023-08-23,"Morrison, CO",Waxahatchee,Red Rocks Amphitheater,"Nathaniel Rateliff & The Night Sweats, Waxahatchee",Backline and my orange Acrolyte snare,,2025-08-03
187,2023-08-30,"Mount Tremper, NY",Critter Bonus,The Pines,Critter Bonus,The Pines vintage Ludwig? my orange Acrolyte snare,,2025-08-03
188,2023-09-03,"Woodstock, NY",Sam Evian and Hannah Cohen,Levon Helm Studios,"Sam Evian, Hannah Cohen","Levon’s Gretsch, my cymbals and orange Acrolyte snare",,2025-08-03
189,2023-09-07,"Raleigh, NC",Sam Evian,Hopscotch Music Festival,Hopscotch Music Festival,Sam’s Rogers kit with my orange Acrolyte snare,,2025-08-03
190,2023-09-08,"Atlanta, GA",Sam Evian,The Earl,"Sam Evian, Seafoam Walls",Sam’s Rogers kit with my orange Acrolyte snare,,2025-08-03
191,2023-09-09,"Savannah, GA",Sam Evian,El Rocko Lounge,"Sam Evian, two local bands",Sam’s Rogers kit with my orange Acrolyte snare,,2025-08-03
192,2023-09-12,"Chattanooga, TN",Sam Evian,Barking Legs Theater,"Sam Evian, Seafoam Walls",Sam’s Rogers kit with my orange Acrolyte snare,,2025-08-03
193,2023-09-13,"Nashville, TN",Sam Evian,WNXP Studios,Sam Evian,Sam’s Rogers kit with my orange Acrolyte snare,,2025-08-03
194,2023-09-13,"Nashville, TN",Sam Evian,The Blue Room,"Sam Evian, Seafoam Walls",Sam’s Rogers kit with my orange Acrolyte snare,,2025-08-03
195,2023-09-14,"Chicago, IL",Liam Kazar,Judson & Moore Distillery,Liam Kazar,Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
196,2023-09-30,"Chicago, IL",Horizon of Darkness,Hideout,"Horizon of Darkness, Hali Palombo, Michael Zerang’s Velvet Bell",Red Onyx Slingerland with WFL snare,,2025-08-03
197,2023-10-17,"Austin, TX",Waxahatchee,Devil’s Backbone Tavern,Waxahatchee,Backline Ludwig,,2025-08-03
198,2023-10-18,"Chicago, IL",Spencer Tweedy & Lia Kohl,Archive House,Spencer Tweedy & Lia Kohl,Partial Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
199,2023-10-19,"Chicago, IL",Sima Cunningham,Empty Bottle,"Free Range, Sima Cunningham, Hazel City",Jack Henry’s drums with my orange Acrolyte snare,,2025-08-03
200,2023-10-26,"Chicago, IL",Case Oats,Hungry Brain,"Casey and Dana Halloween: Case Oats, Free Range, Tootsie, DJ Scary Stevens",Whitehall with orange Acrolyte snare,,2025-08-03
201,2023-10-27,"Chicago, IL",Cosmic Country Showcase,Lincoln Hall,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
202,2023-11-01,"Chicago, IL",Case Oats,Hideout,"Leah Senior, Joanna Samuels, Case Oats (duo)",Casey’s Epiphone Cortez and my/dad’s paisley Music Master with silverface Champ,,2025-08-03
203,2023-11-07,"San Diego, CA",Finom,Music Box,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare",,2025-08-03
204,2023-11-08,"Los Angeles, CA",Finom,Fonda Theatre,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare",,2025-08-03
205,2023-11-09,"San Francisco, CA",Finom,Bimbo’s 365 Club,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare",,2025-08-03
206,2023-11-10,"San Francisco, CA",Finom,Bimbo’s 365 Club,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare",,2025-08-03
207,2023-11-11,"Sacramento, CA",Finom,Ace of Spades,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare",,2025-08-03
208,2023-11-14,"Vancouver, BC",Finom,The Commodore Ballroom,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare",,2025-08-03
209,2023-11-15,"Portland, OR",Finom,Revolution Hall,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare",,2025-08-03
210,2023-11-16,"Seattle, WA",Finom,Showbox,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare",,2025-08-03
211,2023-11-17,"Boise, ID",Finom,Knitting Factory,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare",,2025-08-03
212,2023-11-18,"Salt Lake City, UT",Finom,Commonwealth,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare",,2025-08-03
213,2023-12-04,"Riviera Maya, Mexico",Jeff Tweedy,Sky Blue Sky Festival,Sky Blue Sky Festival,C&C backline with my cymbals,,2025-08-03
214,2023-12-05,"Riviera Maya, Mexico",Waxahatchee,Sky Blue Sky Festival,Sky Blue Sky Festival,Backline with my cymbals,,2025-08-03
215,2023-12-17,"Chicago, IL",Sammy Tweedy and Spencer Tweedy,Emanuel Congregation,Songs for Peace,Black Martin acoustic guitar,,2025-08-03
216,2024-01-10,"Chicago, IL",Lucky Cloud,Schubas,"Half Gringa, Lucky Cloud","Quin Kirchner’s drums, my orange Acrolyte and cymbals",,2025-08-03
217,2024-01-25,"Milwaukee, WI",Cosmic Country Showcase,Cactus Club,Cosmic Country Showcase,"Red Onyx Slingerland, orange Acrolyte snare",,2025-08-03
218,2024-01-26,"Chicago, IL",Cosmic Country Showcase,Sleeping Village,Cosmic Country Showcase,"Red Onyx Slingerland, orange Acrolyte snare",,2025-08-03
219,2024-03-06,"Tokyo, Japan",Finom,Ex Theater Rippongi,"Wilco, Finom","Backline black Yamaha Maple Custom, my cymbals",,2025-08-03
220,2024-03-07,"Tokyo, Japan",Finom,Zepp Haneda,"Wilco, Finom","Backline black Yamaha Maple Custom, my cymbals",,2025-08-03
221,2024-03-08,"Osaka, Japan",Finom,Hatch,"Wilco, Finom","Backline black Yamaha Maple Custom, my cymbals",,2025-08-03
222,2024-03-09,"Kyoto, Japan",Finom,UrBANGUILD,"Finom, Eucademix (Yuka C Honda), Quarru","Venue black Pearl, my cymbals",,2025-08-03
223,2024-03-22,"Chicago, IL",Waxahatchee,Empty Bottle,"Waxahatchee, Liam Kazar","Red Onyx Slingerland, I think C&C abalone snare?",,2025-08-03
224,2024-03-22,"Chicago, IL",Liam Kazar,Empty Bottle,"Waxahatchee, Liam Kazar","Red Onyx Slingerland, I think C&C abalone snare?",,2025-08-03
225,2024-03-24,"Knoxville, TN",Finom,Big Ears Festival,Big Ears Festival,Backline with my cymbals and one of my snares,,2025-08-03
226,2024-03-26,"New York, NY",Waxahatchee,The Late Show With Stephen Colbert,Waxahatchee,Backline with my cymbals and my C&C abalone snare,,2025-08-03
227,2024-03-27,"New York, NY",Waxahatchee,SiriusXM,,Backline with my cymbals and my C&C abalone snare,,2025-08-03
228,2024-03-28,"New York, NY",Liam Kazar,Union Pool,"Liam Kazar, Katie Von Schleicher",Backline with my cymbals and my C&C abalone snare,,2025-08-03
229,2024-03-28,"Philadelphia, PA",Waxahatchee,World Cafe,,Backline with my cymbals and my C&C abalone snare,,2025-08-03
230,2024-03-31,"Chicago, IL",Henry True,Sleeping Village,"Patrick Jasper, Henry True, Adelaide",Andy Danstrom’s blue sparkle Rogers with my cymbals and C&C abalone snare,,2025-08-03
231,2024-04-07,"Chicago, IL",Liam Kazar,Hideout,"Liam Kazar, Sarah Weddle (duo)",Red Onyx Slingerland with abalone snare,,2025-08-03
232,2024-04-08,"Chicago, IL",Liam Kazar,Hideout,"Liam Kazar, Sarah Weddle (duo)",Red Onyx Slingerland with abalone snare,,2025-08-03
233,2024-04-10,"Milwaukee, WI",Finom,Cactus Club,"Finom, VV Lightbody, Ellie Jackson",Red Onyx Slingerland with abalone snare,,2025-08-03
234,2024-04-11,"Minneapolis, MN",Finom,Icehouse,"Finom, VV Lightbody, Holly Hansen",Red Onyx Slingerland with abalone snare,,2025-08-03
235,2024-04-12,"Northfield, MN",Finom,The Cave at Carleton College,"Finom, Work Wife",Backline with my cymbals and my C&C abalone snare,,2025-08-03
236,2024-04-18,"Kansas City, MO",Waxahatchee,Uptown Theater,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
237,2024-04-19,"St Paul, MN",Waxahatchee,Palace Theatre,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
238,2024-04-20,"Chicago, IL",Waxahatchee,Salt Shed,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
239,2024-04-21,"Detroit, MI",Waxahatchee,Majestic Theatre,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
240,2024-04-23,"Toronto, ON",Waxahatchee,Massey Hall,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
241,2024-04-25,"New Haven, CT",Waxahatchee,Toad’s Place,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
242,2024-04-26,"Boston, MA",Waxahatchee,Orpheum Theatre,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
243,2024-04-27,"New York, NY",Waxahatchee,Brooklyn Paramount Theatre,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
244,2024-04-28,"Richmond, VA",Waxahatchee,The National,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
245,2024-04-30,"Asheville, NC",Waxahatchee,The Orange Peel,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
246,2024-05-01,"Nashville, TN",Waxahatchee,Ryman Auditorium,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
247,2024-05-03,"St Petersburg, FL",Waxahatchee,Jannus Live,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
248,2024-05-04,"Orlando, FL",Waxahatchee,Beacham Theater,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
249,2024-05-05,"Atlanta, GA",Waxahatchee,Shaky Knees Festival,Shaky Knees Festival,Red Onyx Slingerland with abalone snare,,2025-08-03
250,2024-05-06,"Birmingham, AL",Waxahatchee,Lyric Theatre,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
251,2024-05-08,"Tulsa, OK",Waxahatchee,Cain’s Ballroom,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
252,2024-05-09,"Fort Worth, TX",Waxahatchee,Tannahill’s Tavern & Music Hall,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
253,2024-05-10,"Houston, TX",Waxahatchee,The Heights Theater,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
254,2024-05-11,"Austin, TX",Waxahatchee,ACL Live at the Moody Theater,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
255,2024-05-13,"Phoenix, AZ",Waxahatchee,The Van Buren,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
256,2024-05-14,"San Diego, CA",Waxahatchee,The Observatory North Park,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
257,2024-05-16,"Los Angeles, CA",Waxahatchee,Hollywood Palladium,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
258,2024-05-17,"Paso Robles, CA",Waxahatchee,Barrelhouse Brewing Company,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
259,2024-05-18,"Oakland, CA",Waxahatchee,Fox Theater,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
260,2024-05-21,"Salt Lake City, UT",Waxahatchee,The Depot,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
261,2024-05-23,"Denver, CO",Waxahatchee,Mission Ballroom,"Waxahatchee, Good Morning",Red Onyx Slingerland with abalone snare,,2025-08-03
262,2024-05-24,"Chicago, IL",Finom,The Hideout,,Rootbeer Gretsch,,2025-08-03
263,2024-05-25,"Chicago, IL",Finom,Shuga Records,Finom,Rootbeer Gretsch,,2025-08-03
264,2024-05-31,"New York, NY",Finom,Sultan Room,,,,2025-08-03
265,2024-06-02,"Chicago, IL",Case Oats,The Hideout,,,,2025-08-03
266,2024-06-05,"Los Angeles, CA",Finom,Zebulon,,,,2025-08-03
267,2024-06-09,"Chicago, IL",Finom,Midsommar Festival,Midsommar Festival,,,2025-08-03
268,2024-06-28,"North Adams, MA",Ten Oh Ten (Sammy & Spencer),Mass MoCA,Solid Sound,,,2025-08-03
269,2024-06-28,"North Adams, MA",Case Oats,Mass MoCA,Solid Sound,,,2025-08-03
270,2024-06-30,"North Adams, MA",Jeff Tweedy,Mass MoCA,Solid Sound,,,2025-08-03
271,2024-07-09,"London, UK",Waxahatchee,BBC,,,,2025-08-03
272,2024-07-11,"Amsterdam, NL",Waxahatchee,Paradiso,"Waxahatchee, Anna St Louis",,,2025-08-03
273,2024-07-12,"Koln, DE",Waxahatchee,Gebäude 9,"Waxahatchee, Anna St Louis",,,2025-08-03
274,2024-07-13,"Hamburg, DE",Waxahatchee,Mojo Club,"Waxahatchee, Anna St Louis",,,2025-08-03
275,2024-07-14,"Bruges, BE",Waxahatchee,Cactusfestival,Cactusfestival,,,2025-08-03
276,2024-07-15,"Berlin, DE",Waxahatchee,Lido,"Waxahatchee, Anna St Louis",,,2025-08-03
277,2024-07-17,"Schorndorf, DE",Waxahatchee,Club Manufaktur,"Waxahatchee, Anna St Louis",,,2025-08-03
278,2024-07-18,"Feldkirch, AT",Waxahatchee,Poolbar Festival,Poolbar Festival,,,2025-08-03
279,2024-07-19,"Sittersdorf, AT",Waxahatchee,Acoustic Lakeside Festival,Acoustic Lakeside Festival,,,2025-08-03
280,2024-07-21,"Zurich, CH",Waxahatchee,Bogen F,"Waxahatchee, Anna St Louis",,,2025-08-03
281,2024-07-22,"Paris, FR",Waxahatchee,La Maroquinerie,"Waxahatchee, Anna St Louis",,,2025-08-03
282,2024-07-24,"Brighton, UK",Waxahatchee,Chalk,"Waxahatchee, Anna St Louis",,,2025-08-03
283,2024-07-25,"London, UK",Waxahatchee,O2 Forum Kentish Town,"Waxahatchee, Anna St Louis",,,2025-08-03
284,2024-07-26,"Southwold, UK",Waxahatchee,Latitude Festival,Latitude Festival,,,2025-08-03
285,2024-07-27,"Manchester, UK",Waxahatchee,New Century,"Waxahatchee, Anna St Louis",,,2025-08-03
286,2024-07-29,"Leeds, UK",Waxahatchee,Leeds Irish Centre,"Waxahatchee, Anna St Louis",,,2025-08-03
287,2024-07-30,"Glasgow, UK",Waxahatchee,Queen Margaret Union,"Waxahatchee, Anna St Louis",,,2025-08-03
288,2024-07-31,"Belfast, UK",Waxahatchee,Belfast Empire Music Hall,"Waxahatchee, Anna St Louis",,,2025-08-03
289,2024-08-01,"Dublin, IE",Waxahatchee,Vicar Street,"Waxahatchee, Anna St Louis",,,2025-08-03
290,2024-08-03,"Albany, WI",Finom,Post Farm,Postock,,,2025-08-03
291,2024-08-03,"Albany, WI",Charlotte Cornfield,Post Farm,Postock,,,2025-08-03
292,2024-08-03,"Albany, WI",Aux Thom,Post Farm,Postock,,,2025-08-03
293,2024-08-04,"Albany, WI",Sima Cunningham,Post Farm,Postock,,,2025-08-03
294,2024-08-04,"Albany, WI",Al Scorch,Post Farm,Postock,,,2025-08-03
295,2024-08-14,"Los Angeles, CA",Waxahatchee,Jimmy Kimmel Live,,,,2025-08-03
296,2024-08-16,"Vancouver, BC",Waxahatchee,Orpheum Theatre,"Waxahatchee, Woods",,,2025-08-03
297,2024-08-17,"Portland, OR",Waxahatchee,Pioneer Courthouse Square,"Waxahatchee, Woods, Toody Cole",,,2025-08-03
298,2024-08-18,"Seattle, WA",Waxahatchee,Woodland Park Zoo Amphitheater,"Waxahatchee, Woods",,,2025-08-03
299,2024-08-19,"Boise, ID",Waxahatchee,Treefort Music Hall,"Waxahatchee, Tre Burt",,,2025-08-03
300,2024-08-21,"Fort Collins, CO",Waxahatchee,Washington's,"Waxahatchee, Tre Burt",,,2025-08-03
301,2024-08-23,"St Louis, MO",Waxahatchee,The Pageant,"Waxahatchee, Tre Burt",,,2025-08-03
302,2024-08-24,"Madison, WI",Waxahatchee,The Sylvee,"Waxahatchee, Tre Burt",,,2025-08-03
303,2024-08-25,"Kalamazoo, MI",Waxahatchee,Bell's Beer Garden,"Waxahatchee, Tre Burt",,,2025-08-03
304,2024-08-26,"Pittsburgh, PA",Waxahatchee,The Warhol at Carnegie Music Hall,"Waxahatchee, Tre Burt",,,2025-08-03
305,2024-08-28,"New York, NY",Waxahatchee,Beacon Theatre,"Waxahatchee, Woods",,,2025-08-03
306,2024-08-29,"South Deerfield, MA",Waxahatchee,Tree House Summer Stage,"Waxahatchee, Snail Mail, Tim Heidecker",,,2025-08-03
307,2024-08-30,"Portland, ME",Waxahatchee,State Theater,"Waxahatchee, Snail Mail, Tim Heidecker",,,2025-08-03
308,2024-08-31,"Accord, NY",Waxahatchee,Arrowood Farms,"Waxahatchee, Snail Mail, Tim Heidecker",,,2025-08-03
309,2024-09-01,"Asbury Park, NJ",Waxahatchee,Stone Pony Summerstage,"Waxahatchee, Snail Mail, Tim Heidecker",,,2025-08-03
310,2024-09-04,"Charlottesville, VA",Waxahatchee,Ting Pavilion,"Waxahatchee, Snail Mail, Tim Heidecker",,,2025-08-03
311,2024-09-05,"Raleigh, NC",Waxahatchee,Hopscotch Music Festival,Hopscotch Music Festival,,,2025-08-03
312,2024-09-06,"Vienna, VA",Waxahatchee,Filene Center at Wolf Trap,"Waxahatchee, Snail Mail, Tim Heidecker",,,2025-08-03
313,2024-09-07,"Philadelphia, PA",Waxahatchee,The Fillmore,"Waxahatchee, Snail Mail, Gladie",,,2025-08-03
314,2024-09-08,"Philadelphia, PA",Waxahatchee,The Fillmore,"Waxahatchee, Tim Heidecker",,,2025-08-03
315,2024-09-10,"New York, NY",Waxahatchee,CBS This Morning,,,,2025-08-03
316,2024-09-13,"Chicago, IL",Lucky Cloud,Gman Tavern,"Lake James, Lucky Cloud",,,2025-08-03
317,2024-09-19,"Nashville, TN",Waxahatchee,Americana Fest (ANTI- Showcase),"Neko Case, Waxahatchee, Madi Diaz, MJ Lenderman, Christian Lee Hutson, Leyla McCalla",,,2025-08-03
318,2024-09-19,"Nashville, TN",MJ Lenderman,Americana Fest (ANTI- Showcase),"Neko Case, Waxahatchee, Madi Diaz, MJ Lenderman, Christian Lee Hutson, Leyla McCalla",,,2025-08-03
319,2024-09-21,"Chicago, IL",Waxahatchee,Riot Fest,Riot Fest,,,2025-08-03
320,2024-10-04,"Chicago, IL",Case Oats,Apricot Vintage,"Lucky Cloud, Case Oats (duo)",,,2025-08-03
321,2024-10-10,"Chicago, IL",Liam Kazar,Judson & Moore Distillery,Liam Kazar,,,2025-08-03
322,2024-10-12,"Chicago, IL",Sammy Tweedy and Spencer Tweedy,Emanuel Congregation,Yom Kippur services!,,,2025-08-03
323,2024-10-13,"Sawyer, MI",DJ Case Oats,Out There,DJ Case Oats and Spencer Tweedy,,,2025-08-03
324,2024-10-17,"Chicago, IL",Henry True,Color Club,"Katie Malco, Henry True",,,2025-08-03
325,2024-10-21,"Washington, DC",Waxahatchee,NPR Tiny Desk,Waxahatchee,,,2025-08-03
326,2024-10-22,"Philadelphia, PA",Waxahatchee,Ardmore Music Hall,Philly Music Fest,,,2025-08-03
327,2024-10-24,"Chicago, IL",Cosmic Country Showcase,Color Club,,,,2025-08-03
328,2024-10-25,"Chicago, IL",Cosmic Country Showcase,Color Club,,,,2025-08-03
329,2024-10-26,"Chicago, IL",Cosmic Country Showcase,Color Club,,,,2025-08-03
330,2024-10-24,"Milwaukee, WI",Cosmic Country Showcase,Cactus Club,,,,2025-08-03
331,2024-10-30,"Chicago, IL",Lucky Cloud,Gman Tavern,"Lucky Cloud, Zach Morp",,,2025-08-03
332,2024-10-31,"Chicago, IL",Case Oats,Hungry Brain,"Case Oats, Liam Kazar, TV Buddha, DJ Scary Stevens",,,2025-08-03
333,2024-11-02,"Chicago, IL",Finom,Metro,"Finom, Cabeza De Chivo",,,2025-08-03
334,2024-11-06,"Detroit, MI",Finom,Lager House,"Finom, Meg Elsier",,,2025-08-03
335,2024-11-07,"Toronto, ON",Finom,Baby G,"Finom, Meg Elsier, Beams",,,2025-08-03
336,2024-11-08,"Montreal, QC",Finom,Cabaret Foufs,"Finom, Meg Elsier",,,2025-08-03
337,2024-11-09,"Burlington, VT",Finom,Radio Bean,"Finom, Meg Elsier",,,2025-08-03
338,2024-11-11,"Boston, MA",Finom,The Rockwell,"Finom, Meg Elsier",,,2025-08-03
339,2024-11-13,"Philadelphia, PA",Finom,Johnny Brenda's,"Finom, Meg Elsier",,,2025-08-03
340,2024-11-14,"New York, NY",Finom,Baby's All Right,"Finom, Meg Elsier, Work Wife",,,2025-08-03
341,2024-11-15,"Pittsburgh, PA",Finom,Club Cafe,"Finom, Meg Elsier",,,2025-08-03
342,2024-11-23,"Chicago, IL",Jeff Tweedy,Letters to Santa,Letters to Santa 2024,,,2025-08-03
343,2024-11-29,"Perth, Australia",Waxahatchee,Astor Theatre,,,https://link.seated.com/f7518b23-9528-4783-8c1a-21b1c82cb62d,2025-08-03
344,2024-12-01,"Brisbane City, Australia",Waxahatchee,The Tivoli,,,https://link.seated.com/ffe948c9-cdf6-4705-87e1-427fe00ac6c5,2025-08-03
345,2024-12-02,"Sydney, Australia",Waxahatchee,Sydney Opera House,,,https://link.seated.com/f01e0940-287e-4b32-a4c8-d45a5ef3f487,2025-08-03
346,2024-12-04,"Melbourne, Australia",Waxahatchee,Corner Hotel,"Waxahatchee, Good Morning",,https://link.seated.com/4352686e-52c1-4303-9599-c6f6f05439e6,2025-08-03
347,2024-12-05,"Melbourne, Australia",Waxahatchee,The Forum,,,https://link.seated.com/aa021de0-fbf7-4a68-84f8-ec408f342f81,2025-08-03
348,2024-12-06,"Meredith, Australia",Waxahatchee,Meredith Music Festival,Meredith Music Festival,,https://link.seated.com/54c0d600-fcb3-4373-99d7-d9d982e74357,2025-08-03
349,2024-12-08,"Hobart, Australia",Waxahatchee,Odeon Theatre,,,https://link.seated.com/dae57c0c-31d8-4ede-859d-e7f00a8c5f27,2025-08-03
350,2024-12-13,"Chicago, IL",Sima Cunningham,Constellation,"Sima Cunningham, Max Subar",,https://www.seetickets.us/event/sima-cunningham-high-roller-album-release-wmax-subar/618581,2025-08-03
351,2024-12-14,"Chicago, IL",Liam Kazar,Thalia Hall,"Neal Francis, Liam Kazar",,https://www.ticketweb.com/event/sold-out-neal-francis-with-thalia-hall-tickets/13821523,2025-08-03
352,2025-01-04,"Los Angeles, CA","""Sweet Sixteen with Katie Crutchfield, D'Arcy Carden, and Allison Crutchfield""",Largo at the Coronet,"Katie Crutchfield, D'Arcy Carden, Allison Crutchfield, and guests",,https://wl.seetickets.us/event/sweet-sixteen-with-katie-crutchfield-darcy-carden/631250?afflky=LargoAtTheCoronet,2025-08-03
353,2025-02-08,"Chicago, IL",Liam Kazar,Fitzgeralds,Liam Kazar,,https://www.fitzgeraldsnightclub.com/tm-event/liam-kazar-returns-to-fitzgeralds-nightclub/,2025-08-03
460,2025-02-17,"Chicago, IL",Finom,Audiotree Live,Finom,,,2025-08-03
354,2025-02-21,"Chicago, IL",Sima Cunningham,Robert's Westside,"Sima Cunningham, VV Lightbody and Minor Moon duo",,https://robertswestside.com/listing/sima-cunninghams-residency-roberts-westside/,2025-08-03
355,2025-02-24,"New York, NY",Waxahatchee,The Tonight Show Starring Jimmy Fallon,The Tonight Show,,,2025-08-03
356,2025-03-05,"Miami, FL",Jeff Tweedy,Cayamo Cruise,Cayamo Cruise,,https://www.cayamo.com/,2025-08-03
357,2025-03-11,"Austin, TX",Case Oats,Antone's,High Road Touring Showcase,,https://www.highroadtouring.com/high-road-2025-sxsw-showcase-tuesday-march-11th-at-antones/,2025-08-03
358,2025-03-12,"Austin, TX",Liam Kazar,The Long Time,Kevin Morby and his Sandlot All-Stars,,https://www.eventbrite.com/e/kevin-morby-and-his-sandlot-all-stars-tickets-1205496044119,2025-08-03
359,2025-03-12,"Austin, TX",Kevin Morby,The Long Time,Kevin Morby and his Sandlot All-Stars,,https://www.eventbrite.com/e/kevin-morby-and-his-sandlot-all-stars-tickets-1205496044119,2025-08-03
360,2025-03-13,"Austin, TX",Case Oats,YETI Flagship Store,YETI Music Showcase,,https://www.bmi.com/events/entry/591886,2025-08-03
361,2025-03-13,"Spicewood, TX",Waxahatchee,Luck Reunion,"Waxahatchee, Lucinda Williams, and special guests",,https://link.seated.com/71628ce0-a50f-4b31-be7b-954bdc613e95,2025-08-03
362,2025-03-14,"Austin, TX",Case Oats,Hotel San José,South By San José,,https://www.bunkhousehotels.com/hotel-san-jose/events/south-by-san-jose,2025-08-03
363,2025-03-14,"Spicewood, TX",Waxahatchee,Luck Reunion,"Waxahatchee, Lucinda Williams, and special guests",,https://link.seated.com/71628ce0-a50f-4b31-be7b-954bdc613e95,2025-08-03
364,2025-03-14,"Austin, TX",Case Oats,The Swan Dive,Line of Best Fit Showcase,,https://www.thelineofbestfit.com/news/best-fit-sxsw-2025-showcase-lineup-yhwh-nailgun-jasmine-4-t-man-woman-chainsaw,2025-08-03
365,2025-03-21,"Chicago, IL",Sima Cunningham,Robert's Westside,"Sima Cunningham, Judson Claiborne",,https://robertswestside.com/listing/sima-cunninghams-residency-roberts-westside/,2025-08-03
461,2025-03-24,"Chicago, IL",Case Oats,The Getaway,Welcome to the Show,,,2025-08-03
366,2025-04-05,"Chicago, IL",Lucky Cloud,Schubas,"Lucky Cloud, Lake J, Shoulderbird",,https://lh-st.com/shows/04-05-2025-lucky-cloud/,2025-08-03
462,2025-04-08,"Chicago, IL",Al Scorch,The Hideout,Al Scorch's Big Fantastical Residency,,,2025-08-03
368,2025-04-12,"Charleston, WV",Jeff Tweedy,Culture Center Theater,WV Hall of Fame Induction for Daniel Johnston,,https://www.wvmusichalloffame.com/10thCeremony.html,2025-08-03
369,2025-04-13,"Charleston, WV",Jeff Tweedy,Mountain Stage,Mountain Stage,,https://www.eventbrite.com/e/jeff-tweedy-johnnyswim-olivia-ellen-lloyd-and-more-on-mountain-stage-tickets-1200252410269?aff=Tweedy,2025-08-03
463,2025-04-18,"Chicago, IL",Jeff Tweedy,The Vic Theatre,Jeff Tweedy,,,2025-08-03
464,2025-04-19,"Chicago, IL",Jeff Tweedy,The Vic Theatre,Jeff Tweedy,,,2025-08-03
370,2025-04-26,"Tallahassee, FL",Waxahatchee,The Adderley Amphitheater,"Wilco, Waxahatchee",,https://link.seated.com/a4ab1662-b10c-4cd0-ad08-c484c75f5319,2025-08-03
